2016-01-06 14:59:16 - PHP Notice:  Undefined index: export_type in C:\OpenServer\domains\testNovumSoft\admin\controller\tool\export_import.php on line 71
2016-01-06 14:59:16 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6936
2016-01-06 14:59:16 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6937
2016-01-06 14:59:16 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6938
2016-01-06 15:02:14 - PHP Notice:  Undefined index: export_type in C:\OpenServer\domains\testNovumSoft\admin\controller\tool\export_import.php on line 71
2016-01-06 15:02:15 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6936
2016-01-06 15:02:15 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6937
2016-01-06 15:02:15 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6938
2016-01-06 15:02:26 - PHP Notice:  Undefined index: export_type in C:\OpenServer\domains\testNovumSoft\admin\controller\tool\export_import.php on line 71
2016-01-06 15:02:26 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6936
2016-01-06 15:02:26 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6937
2016-01-06 15:02:26 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6938
2016-01-06 15:03:01 - PHP Notice:  Undefined index: export_type in C:\OpenServer\domains\testNovumSoft\admin\controller\tool\export_import.php on line 71
2016-01-06 15:03:01 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6936
2016-01-06 15:03:01 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6937
2016-01-06 15:03:01 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6938
2016-01-06 15:03:28 - PHP Notice:  Undefined index: export_type in C:\OpenServer\domains\testNovumSoft\admin\controller\tool\export_import.php on line 71
2016-01-06 15:03:28 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6936
2016-01-06 15:03:28 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6937
2016-01-06 15:03:28 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6938
